action step xA yA dirA xB yB dirB
[Move] 485 3 3 1 3 3 1
[Move] 486 3 2 0 3 2 0
[Move] 487 2 2 3 3 3 2
[Move] 488 1 2 3 3 4 2
[Move] 489 1 1 0 2 4 3
[Move] 490 1 2 2 1 4 3
[Move] 491 1 1 0 2 4 1
[Move] 492 2 1 1 3 4 1
[Move] 493 3 1 1 4 4 1
[Move] 494 4 1 1 4 3 0
[Move] 495 3 1 3 4 4 2
[Move] 496 3 2 2 4 3 0
[Move] 497 4 2 1 4 2 0
[Move] 498 4 1 0 4 1 0
[Move] 499 3 1 3 4 2 2
[Move] 500 2 1 3 4 1 0
[Move] 501 2 2 2 3 1 3
[Move] 502 2 1 0 4 1 1
[Move] 503 3 1 1 4 2 2
[Move] 504 3 2 2 3 2 3
[Move] 505 4 2 1 3 1 0
[Move] 506 4 3 2 4 1 1
[Move] 507 3 3 3 3 1 3
[Move] 508 2 3 3 2 1 3
[Move] 509 1 3 3 1 1 3
[Move] 510 2 3 1 2 1 1
[Move] 511 1 3 3 3 1 1
[Move] 512 1 4 2 3 2 2
[Move] 513 2 4 1 3 3 2
[Move] 514 2 3 0 2 3 3
[Move] 515 1 3 3 2 2 0
[Move] 516 2 3 1 2 3 2
[Move] 517 2 2 0 1 3 3
[Move] 518 3 2 1 1 2 0
[Move] 519 3 1 0 1 3 2
[Move] 520 2 1 3 2 3 1
[Move] 521 2 2 2 3 3 1
[Move] 522 1 2 3 3 2 0
[Move] 523 1 3 2 4 2 1
[Move] 524 1 4 2 4 3 2
[Move] 525 2 4 1 4 2 0
[Move] 526 3 4 1 4 1 0
[Move] 527 3 3 0 3 1 3
[Move] 528 2 3 3 4 1 1
[Move] 529 1 3 3 4 2 2
[Move] 530 1 2 0 4 3 2
[Move] 531 1 1 0 3 3 3
[Move] 532 2 1 1 3 2 0
[Move] 533 2 2 2 3 3 2
[Move] 534 2 1 0 3 4 2
[Move] 535 3 1 1 4 4 1
[Move] 536 2 1 3 4 3 0
[Move] 537 3 1 1 4 2 0
[Move] 538 4 1 1 4 3 2
[Move] 539 4 2 2 3 3 3
[Move] 540 4 3 2 3 4 2
[Move] 541 3 3 3 2 4 3
[Move] 542 3 4 2 1 4 3
[Move] 543 2 4 3 1 3 0
[Move] 544 2 3 0 1 4 2
[Move] 545 2 2 0 2 4 1
[Move] 546 2 3 2 1 4 3
[Move] 547 1 3 3 1 3 0
[Move] 548 1 4 2 2 3 1
[Move] 549 1 3 0 2 4 2
[Move] 550 1 4 2 3 4 1
[Move] 551 2 4 1 3 3 0
[Move] 552 2 3 0 4 3 1
[Move] 553 3 3 1 4 4 2
[Move] 554 2 3 3 3 4 3
[Move] 555 1 3 3 3 3 0
[Move] 556 1 2 0 3 4 2
[Move] 557 2 2 1 4 4 1
[Move] 558 2 3 2 4 3 0
[Move] 559 3 3 1 4 4 2
[Move] 560 3 4 2 3 4 3
[Move] 561 3 3 0 4 4 1
[Move] 562 3 4 2 3 4 3
[Move] 563 2 4 3 3 3 0
[Move] 564 2 3 0 3 2 0
[Move] 565 1 3 3 4 2 1
[Move] 566 1 2 0 4 1 0
[Move] 567 1 1 0 3 1 3
[Move] 568 1 2 2 3 2 2
[Move] 569 2 2 1 4 2 1
[Move] 570 2 1 0 4 1 0
[Move] 571 1 1 3 3 1 3
[Move] 572 1 2 2 4 1 1
[Move] 573 2 2 1 4 2 2
[Move] 574 3 2 1 4 1 0
[Move] 575 3 1 0 4 2 2
[Move] 576 4 1 1 4 1 0
[Move] 577 3 1 3 3 1 3
[Move] 578 2 1 3 3 2 2
[Move] 579 3 1 1 3 3 2
[Move] 580 3 2 2 3 4 2
[Move] 581 4 2 1 4 4 1
[Move] 582 4 3 2 3 4 3
[Move] 583 3 3 3 3 3 0
[Move] 584 3 2 0 3 2 0
[Move] 585 3 3 2 2 2 3
[Move] 586 3 4 2 2 3 2
[Move] 587 4 4 1 2 2 0
[Move] 588 4 3 0 3 2 1
[Move] 589 4 4 2 3 1 0
[Move] 590 3 4 3 4 1 1
[Move] 591 2 4 3 3 1 3
[Move] 592 3 4 1 3 2 2
[Move] 593 4 4 1 4 2 1
